1000,1,10,13,14,13,0
1100,1,10,16,16,14,0
1200,0,11,18,17,12,1
1300,1,14,19,19,17,0
1400,1,14,18,17,16,0
1500,1,15,19,19,19,1
1600,1,17,20,19,25,1
1700,0,19,20,20,21,0
1800,1,20,20,19,22,0
1900,1,21,25,21,27,0
2000,1,23,22,22,22,0
2100,2,21,23,22,21,0
2200,1,23,22,24,28,0
2300,1,22,24,19,28,1
2400,1,24,25,21,32,1
2500,1,25,26,25,28,0
2600,1,27,28,22,33,0
2700,1,27,27,23,23,1
2800,2,27,28,24,44,0
2900,2,29,28,26,40,0
3000,1,29,30,26,16,0
3100,1,31,31,27,41,1
3200,1,40,32,28,45,1
3300,2,32,33,28,48,1
3400,1,33,34,29,52,0
3500,2,35,36,31,30,1
3600,1,36,36,31,54,1
3700,1,36,38,33,55,1
3800,2,44,41,35,56,1
3900,2,40,40,35,60,1
4000,1,41,41,36,35,2
4100,1,42,42,38,67,1
4200,2,45,43,40,37,1
4300,2,46,46,41,66,1
4400,1,49,45,41,78,1
4500,1,48,48,43,69,1
4600,2,50,48,45,67,1
4700,1,51,51,46,34,1
4800,2,55,51,49,35,1
4900,2,57,53,50,78,1
5000,2,58,52,51,58,1
5100,2,58,56,52,49,2
5200,2,61,55,54,65,1
5300,2,62,59,58,76,2
5400,1,67,57,56,60,1
5500,2,64,61,59,109,2
5600,1,68,63,61,110,1
5700,2,69,63,62,30,2
5800,2,77,68,65,49,2
5900,2,73,66,66,30,2
6000,2,76,69,68,128,1
6100,2,79,74,69,69,1
6200,2,81,75,74,143,2
6300,2,82,74,73,32,1
6400,2,83,76,75,34,2
6500,2,87,78,77,124,2
6600,2,90,82,82,101,2
6700,2,92,85,81,161,2
6800,2,92,83,84,57,2
6900,2,99,86,86,126,2
7000,2,102,89,91,109,1
7100,2,101,91,92,63,2
7200,2,104,92,93,132,2
7300,2,106,97,101,66,1
7400,2,114,96,100,193,2
7500,3,110,100,99,193,2
7600,2,114,100,105,206,2
7700,3,120,104,107,189,2
7800,2,120,105,107,208,1
7900,3,124,109,115,160,2
8000,2,131,115,112,164,1
8100,3,131,112,113,192,2
8200,2,130,114,121,171,2
8300,2,136,121,119,239,1
8400,2,139,118,122,205,1
8500,2,137,127,133,152,1
8600,3,144,124,127,237,2
8700,3,143,127,131,158,2
8800,3,149,133,133,291,2
8900,2,151,133,139,287,2
9000,2,158,134,143,244,2
9100,2,163,139,144,299,2
9200,2,163,138,143,275,2
9300,3,168,145,146,263,2
9400,2,171,147,151,325,3
9500,3,173,157,160,230,3
9600,2,176,151,156,274,2
9700,3,182,154,159,200,2
9800,3,193,158,163,358,2
9900,3,186,159,166,327,2
